StudentID,Name,Class,StudyHoursPerDay,AttendancePercent,SleepHours,ScreenTimeHours,ExtracurricularHoursPerWeek,Maths,Physics,Chemistry,English,ComputerScience
332,Jyoti Iyer,11th,5.7,64,8.5,7.6,1.9,51,54,63,65,67
333,Lavanya Chawla,12th,4.7,61,5.5,0.7,9.2,47,61,53,69,62
334,Aarav Malhotra,11th,5.0,77,9.5,1.4,9.5,84,80,83,87,79
335,Sneha Kaur,11th,6.5,68,7.1,8.1,5.1,78,57,69,74,82
336,Abhinav Rathore,11th,2.3,91,7.5,1.7,6.8,53,51,54,64,52
337,Nisha Agarwal,12th,1.3,88,7.6,6.1,5.9,45,29,42,47,43
338,Ananya Chawla,10th,2.5,52,6.2,4.3,5.9,,37,34,37,46
339,Yogesh Iyer,11th,2.9,59,5.0,7.4,7.9,32,34,45,39,44
340,Chetan Bhatt,10th,1.0,82,4.0,4.0,5.0,49,35,50,48,49
341,Karan Yadav,12th,0.4,61,6.3,5.8,6.4,11,16,19,33,20
342,Divya Patel,11th,5.0,58,9.0,1.9,1.9,50,50,57,60,68
343,Nisha Yadav,12th,1.7,62,8.5,1.6,9.1,59,51,58,64,61
344,Ananya Rathore,10th,5.8,80,6.7,5.6,9.9,84,78,86,88,75
345,Uday Agarwal,11th,1.6,76,9.4,6.9,3.4,37,30,34,41,26
346,Vidya Bose,12th,2.5,62,5.5,1.2,9.8,35,24,44,33,41
347,Neha Desai,10th,0.5,68,6.8,4.5,5.5,41,22,28,34,44
348,Yogesh Kaur,12th,4.9,95,8.9,6.0,5.4,60,61,66,69,69
349,Jyoti Chatterjee,10th,5.4,79,7.0,5.8,8.7,71,62,64,69,73
350,Bhavna Vardhan,11th,4.9,68,5.9,6.0,9.2,60,50,53,56,63
351,Ritu Reddy,11th,2.1,49,8.4,3.1,0.8,38,32,34,34,28
352,Xena Chawla,12th,4.5,98,7.8,8.4,0.5,48,43,61,60,63
353,Rahul Pillai,11th,2.3,91,8.3,8.4,0.3,38,34,51,54,58
354,Aarav Yadav,11th,5.1,97,6.2,5.3,0.3,79,60,70,80,77
355,Nisha Bhatt,12th,2.6,99,9.3,6.7,8.3,38,34,56,59,45
356,Nisha Malhotra,11th,6.5,95,7.1,5.6,3.0,91,83,87,93,87
357,Lavanya Singh,10th,2.1,92,7.4,5.6,3.3,58,51,60,60,49
358,Karan Chawla,12th,6.9,65,9.4,8.5,1.0,79,74,64,72,72
359,Qasim Nair,10th,2.6,46,9.2,2.7,3.7,39,42,54,53,42
360,Jyoti Chawla,10th,6.8,90,6.9,2.8,5.2,99,99,99,98,94
361,Imran Yadav,10th,3.0,99,7.3,4.1,0.0,53,41,59,,59
362,Gauri Nair,10th,1.9,51,9.4,2.3,0.8,36,38,43,49,46
363,Pooja Desai,10th,4.9,51,6.5,8.3,1.1,59,46,64,62,63
364,Pallavi Kaur,12th,7.0,80,4.9,3.7,6.0,83,90,91,95,87
365,Karan Patel,10th,3.5,92,6.5,8.7,8.8,51,49,65,52,55
366,Aditya Desai,11th,1.7,45,9.2,8.6,7.4,27,22,46,49,46
367,Priya Rao,12th,4.5,73,4.8,0.8,8.3,70,59,,70,64
368,Aarav Tiwari,11th,6.0,,8.0,7.4,7.9,,72,93,85,82
369,Farhan Bose,12th,4.2,78,8.3,8.4,9.6,51,39,58,51,60
370,Deepika Rathore,11th,6.9,58,8.1,6.5,8.9,73,64,71,66,65
371,Tara Verma,10th,0.5,53,8.5,5.8,2.3,23,14,30,25,30
372,Kabir Patel,12th,4.8,82,7.2,7.2,3.7,59,40,49,,
373,Ishita Iyer,10th,5.8,88,5.3,3.3,4.1,,74,,73,76
374,Neha Tiwari,11th,4.1,52,4.0,2.1,5.4,45,39,40,55,55
375,Qasim Kapoor,11th,6.6,61,6.2,1.5,4.2,68,66,79,78,79
376,Sanjay Rathore,10th,1.5,70,4.4,3.5,8.9,32,37,34,47,37
377,Nisha Yadav,11th,6.6,70,7.1,5.3,10.0,73,82,90,81,78
378,Kabir Joshi,12th,5.1,76,8.3,4.0,2.7,72,63,73,61,68
379,Tanvi Kaur,11th,3.5,49,8.8,4.2,9.7,42,44,51,50,56
380,Aarav Mehta,10th,6.8,68,5.2,3.3,1.3,79,65,86,87,76
381,Tanvi Reddy,11th,4.6,63,6.1,4.8,2.0,52,47,61,62,71
382,Karan Kaur,10th,2.7,,5.2,1.2,8.8,61,44,61,61,55
383,Abhinav Chatterjee,12th,1.9,99,7.4,7.8,9.5,40,38,45,56,53
384,Tanvi Patel,10th,6.5,74,4.4,3.8,4.5,73,58,80,73,72
385,Kavya Kapoor,10th,5.5,75,4.5,6.9,4.2,68,64,69,77,76
386,Om Tiwari,10th,3.5,92,6.5,3.3,8.3,58,53,71,80,63
387,Sneha Bhatt,11th,1.1,58,7.8,0.5,1.3,46,31,46,56,44
388,Pooja Bhatt,10th,4.4,94,6.8,0.8,1.0,56,56,65,70,76
389,Xena Malhotra,11th,4.2,83,7.5,2.0,5.8,61,49,61,73,68
390,Om Joshi,11th,5.4,76,5.3,3.3,1.4,67,56,69,76,70
391,Rahul Gupta,12th,3.4,95,,2.3,2.6,52,53,60,55,53
392,Devansh Rathore,10th,4.5,77,7.0,3.5,2.5,53,49,60,59,51
393,Ananya Desai,10th,1.6,98,9.1,7.9,6.5,45,54,49,,50
394,Vikram Bhatt,12th,2.5,93,5.8,1.8,4.6,47,47,39,51,49
395,Om Chatterjee,10th,3.6,65,5.4,3.0,2.2,60,49,52,57,57
396,Vikram Gupta,10th,3.6,100,9.5,3.2,10.0,77,69,73,87,76
397,Arjun Kapoor,12th,4.7,88,5.9,0.8,10.0,83,83,89,89,82
398,Rahul Nair,10th,3.1,68,7.1,7.0,5.7,38,35,35,38,51
399,Tara Bose,11th,2.2,77,5.1,1.3,2.9,41,39,57,58,48
400,Gauri Patel,12th,2.8,95,8.8,8.1,3.3,46,40,36,44,54
401,Pallavi Tiwari,12th,3.8,53,8.2,8.7,8.3,59,48,59,60,53
402,Yash Iyer,12th,0.7,48,6.5,6.7,5.8,21,5,22,24,20
403,Nisha Tiwari,10th,5.7,72,4.2,4.0,9.1,79,72,79,81,77
404,Mohit Rathore,12th,1.2,80,9.1,2.1,3.5,46,44,38,39,45
405,Ritu Desai,11th,5.1,86,9.4,4.1,3.0,69,75,70,83,76
406,Ananya Gupta,12th,3.6,100,7.3,6.1,4.4,49,45,47,64,54
407,Arjun Gupta,12th,6.2,60,9.3,8.7,8.7,82,65,86,84,80
408,Neha Nair,11th,4.2,94,5.6,5.4,2.8,66,68,66,77,71
409,Rahul Rathore,12th,1.2,77,4.5,6.5,5.0,22,17,24,20,29
410,Waseem Vardhan,11th,6.5,,7.0,2.2,0.3,69,63,72,83,83
411,Lavanya Verma,10th,5.9,75,4.5,1.5,7.9,74,70,78,80,80
412,Ritu Vardhan,12th,4.3,61,6.7,1.0,1.2,,46,55,53,62
413,Sneha Chawla,12th,1.0,98,4.7,0.8,5.9,33,39,30,46,39
414,Deepika Bose,11th,6.5,93,4.5,4.6,3.7,83,82,83,83,87
415,Sneha Chawla,11th,2.3,100,6.7,0.6,4.0,66,70,75,70,68
416,Devansh Mehta,10th,3.8,47,7.7,8.3,3.2,40,43,42,43,56
417,Pooja Vardhan,12th,3.8,71,5.0,6.5,8.1,38,35,43,50,47
418,Waseem Mehta,10th,3.5,96,4.9,3.2,8.5,70,60,70,83,
419,Ananya Tiwari,11th,1.2,73,8.1,4.7,9.7,39,48,48,48,44
420,Qasim Reddy,10th,2.7,63,6.8,5.9,2.4,44,44,46,43,52
421,Kabir Desai,12th,5.5,77,4.9,8.2,7.0,56,60,56,64,76
422,Lavanya Iyer,12th,5.4,77,9.0,5.8,0.7,83,76,86,89,87
423,Nikhil Agarwal,10th,5.2,87,9.3,5.8,5.2,80,62,71,81,77
424,Devansh Chawla,10th,0.8,61,6.5,1.8,3.0,32,30,37,49,30
425,Karan Joshi,12th,6.7,88,8.3,6.9,7.1,96,76,87,90,99
426,Kabir Gupta,10th,4.0,52,6.5,1.6,8.9,48,36,56,48,44
427,Nikhil Rao,12th,1.1,88,9.4,6.6,5.1,41,49,54,54,55
428,Ritu Pillai,11th,2.2,62,8.9,5.9,5.4,23,15,32,30,39
429,Kabir Agarwal,12th,5.4,97,4.7,3.3,0.9,59,69,74,75,77
430,Rahul Mehta,12th,0.6,51,6.3,7.2,7.5,14,19,26,26,16
431,Suresh Iyer,12th,5.4,79,,2.3,8.1,68,71,73,79,82
432,Aarav Verma,12th,3.2,92,5.4,3.2,3.5,54,57,64,57,70
433,Nikhil Bose,10th,3.5,83,6.3,3.5,4.6,70,63,,63,62
434,Farhan Joshi,10th,2.4,45,5.8,0.7,8.4,52,36,41,53,42
435,Divya Bhatt,12th,4.6,94,9.3,6.9,8.1,68,61,69,74,84
436,Arjun Gupta,11th,4.5,64,4.5,7.2,5.4,56,47,62,59,58
437,Abhinav Vardhan,10th,4.3,91,5.4,7.0,7.2,59,63,59,78,70
438,Nisha Chawla,11th,6.8,57,7.0,4.0,3.4,65,71,72,69,80
439,Zara Bhatt,11th,4.7,67,8.6,0.8,1.8,71,72,79,74,73
440,Deepika Pillai,12th,2.0,76,9.5,3.1,4.0,55,62,68,68,69
441,Uday Vardhan,12th,2.6,58,8.4,2.0,8.7,34,27,44,35,35
442,Qasim Tiwari,11th,3.8,46,6.9,2.1,1.9,39,39,43,45,34
443,Manish Bose,10th,4.3,61,7.9,3.0,5.5,45,36,56,49,43
444,Rahul Sharma,12th,1.6,56,5.7,8.4,1.2,44,29,47,43,32
445,Nikhil Mehta,10th,0.9,78,6.2,5.0,4.2,43,36,53,59,53
446,Kabir Reddy,12th,6.2,81,7.9,7.6,9.1,,85,91,96,91
447,Farhan Tiwari,10th,3.8,81,6.0,8.6,7.8,52,41,46,57,60
448,Riya Verma,12th,2.0,82,5.2,5.9,9.3,33,25,24,36,43
449,Nikhil Iyer,11th,3.6,98,8.9,4.1,8.2,62,67,73,79,76
450,Kavya Iyer,11th,7.0,53,8.4,7.1,3.2,70,61,72,80,73
451,Pooja Kaur,11th,1.9,92,8.7,5.5,0.9,43,41,36,49,41
452,Aditya Tiwari,10th,2.4,87,9.2,0.5,8.8,50,35,46,61,62
453,Meera Gupta,12th,6.5,48,7.6,8.6,6.1,70,56,70,75,69
454,Pallavi Malhotra,11th,3.3,72,5.3,3.4,0.6,53,39,47,53,57
455,Lavanya Mehta,11th,6.9,86,6.1,5.0,5.3,69,76,78,74,73
456,Nisha Iyer,10th,3.6,76,9.3,8.0,0.7,56,58,67,70,67
457,Yogesh Vardhan,12th,2.9,78,5.2,5.9,3.2,44,49,52,,51
458,Chetan Patel,11th,2.9,86,6.6,3.4,2.3,38,36,53,45,46
459,Divya Singh,10th,3.5,62,9.1,3.2,3.2,40,39,48,48,41
460,Sanjay Chawla,12th,3.3,76,9.5,1.4,4.6,49,46,55,50,51
461,Mohit Chawla,11th,4.2,78,8.9,1.1,0.3,54,52,64,72,65
462,Yash Mehta,10th,1.3,89,4.2,7.8,7.4,23,35,29,40,37
463,Rahul Rathore,12th,3.2,73,6.6,7.4,1.5,50,46,64,58,53
464,Pooja Sharma,11th,3.8,67,8.3,1.8,0.4,53,,65,68,63
465,Gauri Iyer,11th,3.5,76,7.7,8.1,4.8,47,,59,51,64
466,Yash Tiwari,10th,6.5,95,7.1,9.0,7.2,87,72,92,84,88
467,Lavanya Rao,10th,6.8,,5.0,7.1,3.8,85,77,85,90,98
468,Nisha Gupta,12th,1.8,94,8.9,3.8,9.9,52,41,48,52,45
469,Vidya Desai,11th,6.6,53,8.8,3.7,5.0,61,64,71,62,72
470,Manish Bhatt,12th,6.9,92,5.0,6.0,2.0,76,78,89,90,90
471,Pooja Sharma,12th,1.4,81,8.3,7.7,4.8,25,32,30,40,27
472,Om Mehta,11th,0.6,82,6.7,1.4,8.5,31,24,35,48,46
473,Jyoti Agarwal,11th,3.7,86,9.2,8.9,9.3,70,59,63,76,75
474,Neha Agarwal,12th,5.5,52,7.4,6.0,2.4,68,59,73,76,75
475,Lavanya Gupta,11th,3.8,93,8.6,3.1,4.9,58,56,62,56,52
476,Riya Gupta,12th,6.2,49,4.6,1.3,6.9,71,71,66,73,77
477,Mohit Verma,12th,4.8,99,4.1,7.4,4.5,63,57,62,55,56
478,Arjun Singh,12th,2.4,66,6.6,0.6,5.3,34,31,38,41,53
479,Ananya Mehta,12th,5.9,88,6.7,8.1,1.5,84,79,80,80,73
480,Tanvi Rathore,11th,4.7,59,7.8,4.2,1.1,51,50,54,68,65
481,Gauri Kaur,11th,4.0,51,9.1,3.7,6.9,60,57,55,56,56
482,Abhinav Malhotra,10th,1.5,72,9.1,5.2,3.5,33,34,47,41,42
483,Nikhil Singh,12th,0.9,84,5.5,4.6,5.0,43,46,57,57,43
484,Vidya Reddy,10th,2.9,97,6.2,7.6,0.8,45,57,56,62,55
485,Arjun Pillai,12th,5.1,99,8.4,4.5,8.2,89,80,87,91,91
486,Abhinav Kaur,10th,4.5,86,5.1,7.0,5.2,62,51,63,61,64
487,Vikram Bhatt,11th,5.1,70,6.5,0.9,0.8,81,69,76,87,87
488,Arjun Bose,12th,3.6,70,8.9,1.0,0.6,69,69,71,81,80
489,Pooja Mehta,11th,6.8,90,4.1,6.4,4.6,85,77,87,83,89
490,Simran Joshi,12th,4.9,96,8.8,6.8,7.7,81,75,80,77,87
491,Divya Singh,10th,2.2,48,8.4,7.6,4.9,38,38,46,42,33
492,Ananya Agarwal,10th,3.0,76,8.2,2.9,3.3,60,57,59,58,63
493,Ananya Sharma,11th,6.6,57,4.8,1.0,0.8,76,85,85,94,85
494,Vidya Reddy,11th,3.7,60,8.2,2.7,7.1,40,34,48,45,45
495,Om Rathore,11th,5.7,57,8.9,3.2,0.6,67,61,60,67,59
496,Jyoti Tiwari,11th,1.0,85,8.0,4.5,0.7,38,33,41,42,47
497,Rahul Sharma,12th,3.0,64,8.8,7.4,5.3,47,52,65,63,59
498,Waseem Rao,10th,0.4,72,4.6,2.4,2.8,26,15,32,30,38
499,Devansh Joshi,11th,3.2,70,8.0,1.4,8.3,50,45,40,55,48
500,Imran Yadav,10th,3.4,68,6.9,6.7,6.7,50,56,54,55,49
