StudentID,Name,Class,StudyHoursPerDay,AttendancePercent,SleepHours,ScreenTimeHours,AssignmentSubmissionRate,Test1_Score,Test2_Score,Test3_Score
386,Zara Bhatt,12th,1.5,44,6.8,5.2,42,23,9,14
387,Nisha Chatterjee,11th,6.1,45,8.7,8.0,58,74,64,65
388,Farhan Bhatt,11th,4.6,71,6.8,7.6,85,61,56,56
389,Pooja Pillai,11th,6.6,41,4.1,6.2,33,55,66,65
390,Qasim Reddy,10th,5.7,64,7.4,3.5,46,56,63,64
391,Aarav Verma,11th,3.2,92,5.9,2.3,77,59,61,60
392,Qasim Malhotra,10th,4.2,71,9.2,4.8,80,54,44,44
393,Abhinav Mehta,11th,6.5,95,4.8,2.2,76,89,89,87
394,Rahul Bose,11th,1.1,62,5.8,8.0,84,30,24,16
395,Kavya Sharma,10th,1.0,68,5.7,7.4,55,30,33,20
396,Sanjay Patel,12th,5.4,,6.5,1.0,80,80,78,75
397,Aisha Reddy,10th,5.8,73,6.2,6.1,78,71,63,60
398,Vidya Rao,11th,2.6,54,6.7,5.9,88,37,29,35
399,Om Kapoor,11th,5.7,77,8.3,4.0,91,74,82,80
400,Ritu Chawla,11th,3.8,42,9.1,3.7,70,49,59,55
401,Gauri Iyer,11th,3.7,64,4.6,5.7,57,40,52,51
402,Farhan Yadav,10th,5.8,54,4.6,5.4,58,48,55,48
403,Neha Sharma,12th,3.5,55,4.6,5.7,38,51,37,34
404,Pallavi Yadav,10th,4.1,69,6.7,1.7,74,55,42,36
405,Bhavna Yadav,12th,1.8,94,5.0,3.0,39,47,53,51
406,Yash Patel,12th,6.9,,9.5,2.7,65,64,58,50
407,Ritu Yadav,11th,5.2,92,8.5,7.8,57,78,62,54
408,Uday Desai,12th,0.9,71,7.4,6.1,66,26,29,21
409,Karan Nair,11th,6.8,51,7.7,3.9,31,70,60,70
410,Nisha Bhatt,11th,1.4,41,8.5,5.9,32,23,16,15
411,Ananya Yadav,11th,5.3,64,6.4,8.2,37,46,47,50
412,Om Joshi,10th,4.5,99,6.0,1.3,46,73,78,76
413,Rohan Verma,11th,3.8,81,5.3,5.5,46,57,49,49
414,Neha Bose,12th,4.4,71,7.3,1.0,,64,61,58
415,Kabir Chatterjee,10th,2.9,66,5.7,4.5,75,48,51,55
416,Uday Kaur,11th,1.3,44,5.4,2.4,44,16,19,19
417,Vikram Gupta,12th,4.7,72,8.2,5.9,88,53,48,50
418,Chetan Kapoor,10th,5.6,54,4.2,1.5,40,71,59,67
419,Jyoti Desai,11th,6.5,89,5.4,4.9,72,71,79,75
420,Farhan Rao,12th,2.8,98,8.1,3.0,72,46,47,52
421,Aditya Joshi,11th,6.8,66,8.8,2.2,94,80,66,66
422,Simran Kapoor,10th,3.3,44,6.3,7.7,68,47,48,41
423,Deepika Patel,12th,1.3,73,6.2,7.5,71,17,20,21
424,Harsh Pillai,12th,6.4,44,6.5,8.2,41,55,52,63
425,Aarav Verma,12th,2.7,90,6.6,7.7,34,46,44,36
426,Tara Tiwari,12th,0.5,58,4.9,4.3,68,33,40,30
427,Farhan Yadav,11th,0.5,88,5.2,2.5,51,20,17,16
428,Zara Gupta,11th,2.9,78,7.8,6.7,69,56,62,55
429,Harsh Pillai,11th,3.5,51,8.2,6.6,79,49,41,31
430,Meera Mehta,10th,1.4,93,5.3,6.6,64,38,29,35
431,Rohan Chawla,10th,5.0,77,4.5,2.4,43,51,56,57
432,Bhavna Desai,11th,1.2,51,4.5,4.7,88,29,33,22
433,Qasim Reddy,11th,4.9,41,7.2,2.5,43,54,48,38
434,Mohit Rathore,12th,1.2,76,6.4,4.6,79,30,33,38
435,Chetan Patel,10th,4.0,56,7.5,2.6,70,45,41,43
436,Aarav Mehta,12th,2.7,60,6.3,6.8,80,37,39,41
437,Uday Chatterjee,12th,2.6,100,4.1,5.3,93,59,67,68
438,Manish Pillai,12th,5.3,87,4.1,8.4,30,55,68,68
439,Neha Kapoor,10th,1.8,78,5.0,3.0,73,46,40,33
440,Riya Reddy,11th,6.7,44,6.0,6.9,90,81,79,75
441,Rohan Chatterjee,11th,5.3,83,5.1,7.3,61,65,62,65
442,Pooja Gupta,11th,2.5,100,8.2,2.2,51,55,45,46
443,Yash Malhotra,10th,4.8,94,9.3,4.7,66,69,74,81
444,Pallavi Reddy,11th,3.2,71,4.8,7.1,72,45,47,49
445,Sneha Bhatt,11th,1.1,62,6.2,4.6,51,20,23,27
446,Nikhil Sharma,10th,6.3,64,6.4,3.8,53,73,76,80
447,Kavya Gupta,11th,6.7,92,5.7,6.5,55,79,75,79
448,Aditya Rathore,12th,5.8,56,5.0,3.1,66,57,59,64
449,Yash Joshi,12th,6.8,59,9.3,1.7,58,80,75,79
450,Aisha Kapoor,11th,5.0,80,8.2,5.4,60,54,59,65
451,Gauri Bhatt,12th,2.9,69,5.1,2.8,43,43,38,42
452,Kabir Kaur,11th,1.3,60,5.8,6.9,94,33,38,37
453,Sanjay Kapoor,12th,4.4,98,6.6,0.8,74,70,73,75
454,Divya Chawla,10th,4.4,52,5.4,4.3,92,61,48,35
455,Gauri Vardhan,10th,5.8,70,8.3,1.0,51,66,63,70
456,Riya Tiwari,10th,4.6,98,5.4,1.5,65,74,64,42
457,Yash Rathore,12th,0.8,55,8.3,0.5,76,25,23,26
458,Bhavna Malhotra,11th,1.9,48,6.9,7.0,70,43,30,42
459,Kabir Verma,10th,4.7,82,8.6,0.6,87,74,57,51
460,Vikram Rathore,12th,3.8,89,4.5,8.2,96,49,58,54
461,Om Verma,10th,4.6,69,5.5,5.8,75,61,63,62
462,Suresh Tiwari,11th,3.1,95,4.0,1.2,82,63,52,51
463,Meera Joshi,12th,0.4,62,6.6,2.2,64,29,27,31
464,Waseem Rao,11th,1.9,99,7.7,4.9,63,46,41,51
465,Kavya Joshi,11th,6.6,49,8.8,4.3,38,69,68,64
466,Xena Yadav,11th,2.3,54,6.2,7.4,32,18,25,26
467,Pallavi Rathore,11th,1.5,40,7.3,2.5,42,25,14,13
468,Pallavi Verma,12th,3.8,77,9.0,6.3,68,45,55,52
469,Vidya Vardhan,12th,4.6,62,9.0,2.7,45,55,43,39
470,Deepika Vardhan,12th,0.8,42,7.5,6.2,72,8,17,12
471,Rohan Iyer,12th,3.7,74,5.9,7.1,54,52,49,45
472,Ritu Malhotra,12th,2.4,43,4.9,6.5,31,32,28,29
473,Simran Chatterjee,10th,6.5,74,4.7,4.1,63,64,73,73
474,Arjun Chawla,10th,6.6,94,8.6,3.5,89,81,77,80
475,Chetan Desai,11th,0.6,94,9.4,6.2,54,30,34,37
476,Manish Verma,10th,0.7,99,7.7,6.3,30,23,29,32
477,Rahul Sharma,11th,2.5,64,7.1,2.1,79,39,53,47
478,Nikhil Joshi,10th,3.8,91,4.6,8.2,37,63,58,54
479,Abhinav Gupta,12th,2.5,71,9.0,6.3,97,38,47,49
480,Kavya Chawla,11th,4.5,42,5.3,2.9,98,68,57,56
481,Abhinav Iyer,10th,3.9,96,8.0,4.9,83,63,69,58
482,Yogesh Reddy,10th,3.0,42,4.4,7.9,48,26,36,37
483,Qasim Desai,12th,2.2,61,4.0,6.4,37,29,20,20
484,Ananya Kapoor,12th,5.0,91,7.1,1.6,35,72,65,61
485,Rohan Chawla,12th,1.0,51,4.2,4.3,92,35,45,41
486,Waseem Chatterjee,12th,1.7,45,6.4,7.1,80,41,27,14
487,Ishita Singh,12th,5.5,66,7.8,3.2,33,58,66,61
488,Deepika Pillai,12th,5.2,60,5.6,1.1,64,63,60,50
489,Mohit Verma,12th,0.8,51,4.2,3.5,70,25,19,15
490,Suresh Nair,11th,5.1,83,7.7,2.3,,60,66,59
491,Waseem Kapoor,12th,1.2,63,4.3,6.7,85,38,40,17
492,Meera Verma,10th,1.7,63,8.5,1.7,65,39,36,35
493,Manish Tiwari,10th,1.1,78,6.9,3.1,45,48,44,34
494,Ritu Joshi,10th,0.7,42,6.6,6.2,50,13,10,20
495,Kavya Verma,11th,2.3,75,4.4,2.0,94,37,41,47
496,Tara Joshi,12th,3.5,89,8.7,5.8,40,64,59,59
497,Vikram Patel,12th,0.8,47,4.3,2.9,84,18,28,24
498,Aarav Verma,11th,0.7,41,8.5,3.8,30,7,5,15
499,Waseem Malhotra,10th,4.1,87,7.9,4.5,34,59,49,43
500,Om Rathore,10th,3.6,59,7.6,6.9,58,42,45,49
